,0
188,362.6951399447136
189,40.91629269365925
190,467.5286892103794
191,-351.1118099598983
192,89.43092383373687
193,155.2802419216917
194,267.3155014717833
195,245.2937102519678
196,78.56537362566789
197,213.03009629280487
198,-128.6976489839102
199,-598.5939149359496
200,128.0633876816737
201,149.32587794998653
202,871.5885465461718
203,676.0106982722507
204,-83.36604818125696
205,2429.965295817636
206,-162.90610204907398
207,230.77795651024934
208,1554.6941081329985
209,-13.608019207528429
210,-313.4209819091212
211,24.516794016236005
212,-14.415268564259435
213,14.919992493970156
214,-1380.4301008858836
215,-106.16993543038461
216,162.5030917214943
217,30.292497159997836
218,291.77677495726164
219,939.1326241946856
220,-237.6953933733722
221,964.0549255959434
222,326.04399610641576
223,445.30535309725263
224,-445.43453327326165
225,1028.6267801422896
226,54.120543872322955
227,386.40450708057267
228,228.5074611694346
229,277.654955072531
230,380.18196283233164
231,-163.3867391689165
232,4147.462692378639
233,379.83314609888515
234,164.92624303491496
235,39.26313743531741
236,199.66981507289364
237,-60.24313066496504
238,-55.70344281406642
239,-387.11431731662674
240,-4.3500034330284905
241,137.46104034502207
242,-331.57922120132025
243,32.25298282187771
244,274.55079717277977
245,-113.73918675307647
246,-133.75959790856143
247,184.56760706778977
248,85.70507714070962
249,221.8860513076737
250,188.7152831525269
251,160.22842138933066
252,-3.320555595461002
253,385.240769104839
254,196.3924317641097
255,16.99563953475908
256,199.6350341125385
257,-90.33786782375395
258,469.5936059810349
259,-3038.659769993186
260,-1627.9526960422504
261,822.0130251067687
262,74.63115870567196
263,133.56960086312301
264,461.26058850395395
265,5472.553718286259
266,-9.725956373719072
267,186.59369136606213
268,-1040.8979185312621
269,-561.6920462307745
270,-112.03430164773857
271,-543.3761334002965
272,747.5559897444407
273,69.36311209368375
274,-48.23291156722891
275,329.1800339836932
276,15.685882913200615
277,259.87817013230534
278,27.10599375081405
279,240.59559084185236
280,-13.812027217722573
281,577.1783222519553
282,-64.6761907823371
283,-41.04423097564063
284,839.8296779007788
285,-104.8257613272066
286,29.81861497911501
287,-52.95915597546028
288,45.207169834201075
289,-618.3565575085097
290,86.7324986891136
291,119.68037544174425
292,247.98055276320244
293,1539.7373164103683
294,2277.978063076123
295,30.355224442878736
296,29.23847348158239
297,358.18963616420064
298,923.7532837633587
299,-399.26105071082236
300,-392.6234163142354
301,318.47074757966493
302,1086.9212910089946
303,185.95385710551318
304,-904.7545316898154
305,-225.04899811775147
306,56.15997081460522
307,309.67267255824146
308,-86.30741083461294
309,-1001.8656367975402
310,2493.4116667172048
311,-222.7310529797698
312,560.8293800673991
313,505.41279011292556
314,-391.99105663342317
315,116.74601095861576
316,-175.43277581714807
317,-1739.671654708997
318,1306.1084186249295
319,-1479.6148857173932
320,783.2931494341086
321,364.9761078533035
322,468.0824277876221
323,2359.700938713678
324,815.5138847491671
325,1204.5707597979583
326,403.05908516594064
327,-1158.3356359061868
328,1083.6222661305437
329,-2363.403368440802
330,1495.1332923108773
331,10128.092659216165
332,-44635.67712786085
333,-128187.0871734659
334,55214.619246125156
335,-4828.72757279177
336,-5058.532549289028
337,1181.8595270056733
338,2639.921675922428
339,-2636.5232154892897
340,-1549.8998803046675
341,-2029.8335404387035
342,-432.93624525676785
343,-8208.158300352228
344,2687.842084780469
