Date,Open,High,Low,Close,Volume
12/1/2014,537.42,539.93,530.4,532.34,"2,115,300"
12/2/2014,532.05,534.03,528.35,532.29,"1,526,600"
12/3/2014,529.98,534.53,527.81,529.87,"1,277,900"
12/4/2014,529.71,535.87,527.14,535.84,"1,392,100"
12/5/2014,529.55,531.43,522.84,523.82,"2,565,600"
12/8/2014,525.69,529.55,522.36,525.54,"2,329,300"
12/9/2014,520.71,532.73,519.07,531.91,"1,871,300"
12/10/2014,531.62,534.86,524.12,524.62,"1,712,200"
12/11/2014,526.35,532.46,525.66,526.89,"1,610,800"
12/12/2014,522.08,527.05,517.24,517.24,"1,994,500"
12/15/2014,521.31,521.67,511.86,512.39,"2,813,400"
12/16/2014,510.16,511.65,487.66,494.03,"3,964,200"
12/17/2014,495.64,505.61,495.45,503.51,"2,883,100"
12/18/2014,511.55,512.46,503.32,509.7,"2,926,700"
12/19/2014,510.11,516.3,505.52,514.94,"3,690,200"
12/22/2014,514.67,525.02,514.67,523.43,"2,723,700"
12/23/2014,525.56,533.1,524.85,529.14,"2,197,600"
12/24/2014,529.06,530.3,525.58,527.32,"705,900"
12/26/2014,527.32,532.79,525.87,532.57,"1,040,500"
12/29/2014,530.73,534.01,528.56,528.88,"2,278,500"
12/30/2014,526.64,529.7,525.69,528.97,"876,200"
12/31/2014,529.8,531.14,524.36,524.96,"1,368,200"
1/2/2015,527.56,529.82,522.67,523.37,"1,447,500"
1/5/2015,521.83,522.89,511.66,512.46,"2,059,800"
1/6/2015,513.59,514.76,499.68,500.59,"2,899,900"
1/7/2015,505.61,505.86,498.28,499.73,"2,065,000"
1/8/2015,496.63,502.1,489.66,501.3,"3,353,500"
1/9/2015,503.38,503.54,493.44,494.81,"2,071,300"
1/12/2015,493.58,494.62,486.23,491.2,"2,326,700"
1/13/2015,497.47,501.6,491.04,494.82,"2,370,400"
1/14/2015,493.3,501.85,491.65,499.5,"2,215,500"
1/15/2015,504.19,504.3,496.4,500.42,"2,715,800"
1/16/2015,498.64,506.8,498.63,506.69,"2,298,200"
1/20/2015,509.6,511.1,504.63,505.51,"2,232,000"
1/21/2015,505.86,517.86,504.81,516.62,"2,268,700"
1/22/2015,520.05,534.86,518.28,532.93,"2,676,900"
1/23/2015,534.12,540.69,531.54,538.47,"2,281,700"
1/26/2015,537.06,537.52,528.22,533.74,"1,543,700"
1/27/2015,528.52,529.25,516.77,517.21,"1,904,000"
1/28/2015,521.35,521.56,508.6,508.6,"1,683,800"
1/29/2015,509.6,509.69,499.83,509.26,"4,186,300"
1/30/2015,514.45,538.39,514.11,533.06,"5,606,300"
2/2/2015,530.27,531.54,517.13,527.03,"2,849,800"
2/3/2015,526.55,531.94,521.83,527.79,"2,038,600"
2/4/2015,527.79,531.21,519.84,521.33,"1,663,600"
2/5/2015,522.36,527.05,520.66,526.14,"1,849,700"
2/6/2015,526.2,535.73,524.97,529.55,"1,763,500"
2/9/2015,526.55,530.54,524.58,526.38,"1,267,700"
2/10/2015,527.85,536.23,525.48,535.47,"1,749,800"
2/11/2015,533.83,536.98,531.92,534.5,"1,377,700"
2/12/2015,535.78,543.33,533.21,541.44,"1,620,200"
2/13/2015,541.86,548.4,541.64,547.51,"1,900,300"
2/17/2015,545.33,548.49,539.61,541.35,"1,616,800"
2/18/2015,539.92,544,536.04,538.22,"1,453,000"
2/19/2015,536.57,541.62,536.54,541.38,"989,100"
2/20/2015,541.64,542.26,534.33,537.47,"1,444,300"
2/23/2015,534.58,534.97,527.96,530.45,"1,457,800"
2/24/2015,528.55,535.32,526.8,534.62,"1,005,000"
2/25/2015,534.43,544.72,533.98,542.38,"1,825,900"
2/26/2015,541.72,554.62,540.02,553.96,"2,311,500"
2/27/2015,552.72,563.16,551.39,556.87,"2,410,100"
3/2/2015,559,570.58,557.22,569.78,"2,129,600"
3/3/2015,568.89,573.81,564.97,572.07,"1,704,700"
3/4/2015,570.3,575.53,566.45,571.8,"1,876,800"
3/5/2015,573.45,576.33,571.84,573.75,"1,389,600"
3/6/2015,573.31,575.1,565.21,566.13,"1,659,100"
3/9/2015,565.31,568.71,561.99,567.29,"1,062,100"
3/10/2015,562.71,563.3,553.21,553.49,"1,792,300"
3/11/2015,553.62,556.61,549.17,549.67,"1,820,700"
3/12/2015,551.99,554.85,548.95,553.99,"1,389,600"
3/13/2015,551.98,556.87,542.73,545.82,"1,703,500"
3/16/2015,549.44,555.33,544.51,552.99,"1,640,900"
3/17/2015,550.2,552.28,546.5,549.33,"1,805,500"
3/18/2015,550.99,558.25,545.5,557.97,"2,134,500"
3/19/2015,557.86,559.26,554.62,556.46,"1,197,200"
3/20/2015,560.11,560.18,557.52,558.83,"2,616,800"
3/23/2015,558.9,560.82,554.31,557.28,"1,643,800"
3/24/2015,561.02,573.02,559.67,568.63,"2,583,200"
3/25/2015,568.94,570.69,557.21,557.26,"2,152,200"
3/26/2015,556.06,557.37,549.14,553.65,"1,572,600"
3/27/2015,551.49,553.76,546.63,546.84,"1,897,400"
3/30/2015,550.11,551.95,546.67,550.52,"1,287,500"
3/31/2015,548.49,553.19,545.22,546.5,"1,588,000"
4/1/2015,547.1,549.63,538.02,541.07,"1,963,000"
4/2/2015,539.37,539.37,532.39,534.06,"1,716,300"
4/6/2015,530.76,536.94,528.12,535.3,"1,324,400"
4/7/2015,536.61,541.2,534.53,535.55,"1,302,800"
4/8/2015,536.91,542.36,536.91,540.13,"1,178,500"
4/9/2015,539.55,540.47,534.02,539.3,"1,557,800"
4/10/2015,540.81,540.81,535.84,538.53,"1,409,400"
4/13/2015,536.94,542.57,535.84,537.69,"1,645,300"
4/14/2015,534.78,536.1,526.65,528.94,"2,604,100"
4/15/2015,527.25,533.27,521.79,531.07,"2,318,800"
4/16/2015,528.45,534.12,528.16,532.34,"1,299,800"
4/17/2015,527.21,528.39,519.58,522.62,"2,151,800"
4/20/2015,524.16,534.62,523.06,533.91,"1,679,200"
4/21/2015,536.04,537.91,532.21,532.51,"1,844,700"
4/22/2015,532.94,539.6,530.29,537.89,"1,593,500"
4/23/2015,539.52,549.45,538.75,545.5,"4,184,800"
4/24/2015,564.55,569.58,555.72,563.51,"4,932,500"
4/27/2015,563.39,565.95,553.2,555.37,"2,398,000"
4/28/2015,554.64,556.02,550.37,553.68,"1,491,000"
4/29/2015,550.47,553.68,546.91,549.08,"1,698,800"
4/30/2015,547.87,548.59,535.05,537.34,"2,082,200"
5/1/2015,538.43,539.54,532.1,537.9,"1,768,200"
5/4/2015,538.53,544.07,535.06,540.78,"1,308,000"
5/5/2015,538.21,539.74,530.39,530.8,"1,383,100"
5/6/2015,531.24,532.38,521.09,524.22,"1,567,000"
5/7/2015,523.99,533.46,521.75,530.7,"1,546,300"
5/8/2015,536.65,541.15,525,538.22,"1,527,600"
5/11/2015,538.37,541.98,535.4,535.7,"905,300"
5/12/2015,531.6,533.21,525.26,529.04,"1,634,200"
5/13/2015,530.56,534.32,528.66,529.62,"1,252,300"
5/14/2015,533.77,539,532.41,538.4,"1,403,900"
5/15/2015,539.18,539.27,530.38,533.85,"1,971,300"
5/18/2015,532.01,534.82,528.85,532.3,"2,003,400"
5/19/2015,533.98,540.66,533.04,537.36,"1,966,900"
5/20/2015,538.49,542.92,532.97,539.27,"1,430,800"
5/21/2015,537.95,543.84,535.98,542.51,"1,462,700"
5/22/2015,540.15,544.19,539.51,540.11,"1,176,200"
5/26/2015,538.12,539,529.88,532.32,"2,406,500"
5/27/2015,532.8,540.55,531.71,539.79,"1,525,000"
5/28/2015,538.01,540.61,536.25,539.78,"1,029,800"
5/29/2015,537.37,538.63,531.45,532.11,"2,597,400"
6/1/2015,536.79,536.79,529.76,533.99,"1,904,300"
6/2/2015,532.93,543,531.33,539.18,"1,939,000"
6/3/2015,539.91,543.5,537.11,540.31,"1,714,500"
6/4/2015,537.76,540.59,534.32,536.7,"1,348,300"
6/5/2015,536.35,537.2,532.52,533.33,"1,388,200"
6/8/2015,533.31,534.12,526.24,526.83,"1,520,600"
6/9/2015,527.56,529.2,523.01,526.69,"1,455,300"
6/10/2015,529.36,538.36,529.35,536.69,"1,815,000"
6/11/2015,538.42,538.98,533.02,534.61,"1,217,500"
6/12/2015,531.6,533.12,530.16,532.33,"955,800"
6/15/2015,528,528.3,524,527.2,"1,632,700"
